Team,TotalPoints,Races,Members
IM2,121133,11371,30
TR1,100205,2120,4
X3,37936,1367,50
WL,32020,4929,42
ML,20633,1059,45
FASZ,19268,786,41
CRAZZZ,12369,521,41
4MATH,11378,543,42
MATHNL,10319,460,13
LEGOLF,8778,344,48
PIGGY,8390,328,3
TOSONT,7880,389,32
DM8TE,7757,263,34
OT,7366,298,31
NITR0,7256,684,49
CC,7200,434,41
SHIP,7148,304,49
SERVNT,6944,367,25
TMS,6360,2299,25
NFL,6327,261,18
DKC,5790,261,46
PNKYPI,5724,194,49
WOLVEZ,5546,703,7
J4UP,5537,291,19
T2WIN,5411,309,43
ETYPEC,4829,330,12
BEAST,4578,214,40
COBRAS,4431,191,14
ETH,4369,108,1
APLU5,3879,142,28
JLFU,3781,228,37
NFO,3424,117,6
JSTW,3374,110,15
TCLIP,3247,199,36
KINGH,3171,105,20
NFL881,3167,136,31
R3M1X,3016,301,20
N8TH,2924,140,8
FUS3,2791,133,37
EVSC,2660,123,49
JDFU,2628,135,50
WINNR,2489,87,8
BOB151,2348,109,15
BAG,2333,126,10
WMDSM,2204,115,31
81BAG,2171,121,46
CONM,2122,102,42
JE4US,1832,78,44
NTPD1,1612,80,16
49ERSI,1473,72,21
12312B,1435,69,34
GRIFF,1345,55,10
LGCS,1290,60,7
RISE,1202,51,44
ZOOM,1164,48,8
A3,1011,90,12
ALSLUG,896,52,38
SAVVEE,887,43,16
KINGS,852,41,49
GOAT,795,45,45
MATH,774,38,40
WCV,764,34,27
MATT18,737,35,41
TRUST,681,36,47
NMCH12,673,39,45
DRBZZZ,613,26,8
PUPBY,487,30,31
GHOSTS,468,25,4
SOCER5,364,21,40
DORYA,356,19,43
VZ,350,17,45
HRX,348,20,36
LGE,343,12,45
HGWRTS,340,14,15
GOLD55,340,23,33
GOATS,294,17,37
NMV,293,13,9
EASTER,280,16,47
CR7TW,275,15,21
ZWINNA,254,12,30
ZH,249,31,11
ABAMS,224,12,40
1LWS,221,13,21
W2V,164,9,42
121,137,7,27
ERICK,133,8,27
GOLD,127,7,48
TEDDY,97,5,45
AMATHB,69,6,31
HIM32,28,2,4
WISD0M,20,1,10
PRVBS,15,1,14
IM4,2,1,2
KOTGP,0,0,6
NMGS,0,0,11
MAHOU,0,0,8
SOW,0,0,4
UBL,0,0,6
A298,0,0,7
RTV,0,0,5
CCFRI,0,0,8
