Team,TotalPoints,Races
IM2,167126,11175
TR1,103878,2098
WL,44477,4918
X3,43484,1367
ML,24072,1057
FASZ,21365,786
CRAZZZ,15234,521
4MATH,13868,543
TMS,13699,2299
MATHNL,11409,460
PIGGY,10238,328
LEGOLF,10115,344
TOSONT,9736,389
NITR0,8999,684
DM8TE,8830,263
CC,8258,430
SERVNT,8101,367
SHIP,7987,304
OT,7970,298
WOLVEZ,7609,703
NFL,7548,261
ETYPEC,7115,330
DKC,6563,261
T2WIN,6501,309
J4UP,6386,291
PNKYPI,6155,194
BEAST,5745,214
COBRAS,5296,191
JLFU,4867,228
ETH,4734,108
APLU5,4151,142
R3M1X,3921,301
NFL881,3896,136
JSTW,3837,110
NFO,3784,117
KINGH,3688,105
N8TH,3637,140
TCLIP,3582,199
JDFU,3209,135
FUS3,3101,133
EVSC,3070,123
BOB151,3018,109
WINNR,2864,87
BAG,2857,126
81BAG,2731,121
CONM,2702,102
WMDSM,2551,115
JE4US,2082,78
NTPD1,1905,80
12312B,1784,69
49ERSI,1715,72
GRIFF,1605,55
LGCS,1432,60
ZOOM,1398,48
RISE,1397,51
KINGS,1370,41
A3,1267,90
TRUST,1230,36
ALSLUG,1225,52
SAVVEE,1004,43
NMCH12,951,39
MATH,902,38
GOAT,898,45
WCV,897,34
DRBZZZ,877,26
MATT18,871,35
GHOSTS,694,25
PUPBY,601,30
SOCER5,514,21
GOLD55,492,23
VZ,432,17
HGWRTS,413,14
HRX,409,20
DORYA,404,19
LGE,380,12
CR7TW,356,15
GOATS,341,17
NMV,329,13
ZH,326,31
EASTER,318,16
ABAMS,309,12
ZWINNA,306,12
1LWS,253,13
W2V,213,9
ERICK,174,8
121,159,7
GOLD,151,7
TEDDY,120,5
AMATHB,90,6
HIM32,28,2
WISD0M,25,1
PRVBS,19,1
KOTGP,0,0
NMGS,0,0
MAHOU,0,0
SOW,0,0
UBL,0,0
A298,0,0
RTV,0,0
CCFRI,0,0
