Team,TotalPoints,Races,Members
IMT,145959,13256,27
TR1,143090,3021,4
X3,45648,1652,50
WL,41108,6535,46
NMGDS,27468,980,25
ML,23208,1264,47
TOSONT,21776,1089,45
FASZ,21018,864,37
SHIP,17475,775,46
4MATH,15647,729,42
OT,15277,583,33
CRAZZZ,14490,614,40
CC,13354,788,50
DKC,11637,485,46
CF02,11598,464,28
SERVNT,11578,641,50
DM8TE,10802,392,15
LEGOLF,10346,408,47
PIGGY,10043,392,9
COBRAS,9774,453,21
PNKYPI,9402,304,46
NITR0,8669,844,50
TMS,8582,2451,32
LORD,8021,394,7
T2WIN,7878,424,43
NFL,7803,336,17
NFL881,7429,303,34
BEAST,6498,296,40
J4UP,6230,355,17
FUS3,5797,279,36
WOLVEZ,5547,704,1
JSTW,5102,159,17
ETYPEC,4946,335,12
BAG,4791,246,12
GRIFF,4603,278,12
NFO,4516,162,6
ETH,4369,108,1
TCLIP,4344,243,38
JLFU,4247,253,36
KINGH,4047,154,20
APLU5,3879,142,27
WINNR,3574,122,8
JDFU,3522,179,50
R3M1X,3136,307,20
N8TH,3087,146,8
HGWRTS,2989,101,16
BOB151,2906,139,16
EVSC,2887,133,47
A3,2617,155,13
CONM,2448,119,42
WMDSM,2204,115,30
WCV,2166,89,26
MATH,2101,101,43
JE4US,2071,91,44
HIM32,2045,96,4
LGCS,1950,85,7
NTPD1,1658,82,16
12312B,1527,75,34
RISE,1522,64,27
49ERSI,1473,72,21
PUPBY,1414,82,31
ZOOM,1356,60,7
404,1324,84,8
DORYA,1268,78,43
TRUST,1226,59,48
ERICK,1106,49,27
DRBZZZ,1088,46,8
SAVVEE,909,44,16
GOAT,901,52,44
ALSLUG,896,52,38
KINGS,852,41,49
GHOSTS,849,45,4
MATT18,737,35,40
NMCH12,708,41,45
VZ,602,29,45
GOLD55,525,33,33
HRX,494,27,36
SOCER5,443,26,40
GOATS,386,21,37
EASTER,358,20,48
LGE,343,12,45
NMV,326,15,7
WISD0M,317,13,10
ZWINNA,282,14,30
CR7TW,275,15,21
ZH,272,32,12
GOLD,272,17,48
1LWS,257,15,20
ABAMS,224,12,40
W2V,183,10,41
121,137,7,27
AMATHB,137,12,31
TEDDY,110,6,45
PRVBS,73,4,14
NMGS,53,2,11
IM4,2,1,2
KOTGP,0,0,6
MAHOU,0,0,8
SOW,0,0,4
UBL,0,0,6
A298,0,0,7
81BAG,0,0,2
CCFRI,0,0,8
