Team,TotalPoints,Races,Members
IM2,138464,12809,34
TR1,127054,2683,4
X3,43055,1563,50
WL,37905,5872,43
ML,22700,1218,47
FASZ,20592,844,39
TOSONT,17903,907,50
4MATH,14378,671,46
SHIP,14206,622,45
CRAZZZ,13553,572,40
OT,12539,509,32
CC,10986,653,50
NMGDS,10953,373,8
SERVNT,10397,573,50
CF02,10135,412,25
PIGGY,10005,389,9
LEGOLF,9606,380,47
DM8TE,9479,330,35
NITR0,8464,827,49
TMS,7946,2418,32
COBRAS,7931,357,17
PNKYPI,7815,254,45
T2WIN,7305,399,43
LORD,7226,362,15
NFL,6889,292,18
DKC,6161,275,46
BEAST,5886,271,40
J4UP,5794,336,18
NFL881,5549,231,34
WOLVEZ,5547,704,1
JSTW,5072,158,16
ETYPEC,4946,335,12
ETH,4369,108,1
TCLIP,4104,233,38
JLFU,3977,239,36
APLU5,3879,142,28
FUS3,3819,187,37
BAG,3749,195,12
NFO,3569,122,6
JDFU,3337,170,50
KINGH,3202,107,19
R3M1X,3037,302,20
N8TH,2977,142,8
WINNR,2973,103,8
EVSC,2887,133,47
BOB151,2710,127,15
CONM,2301,111,43
A3,2213,139,14
WMDSM,2204,115,30
HIM32,2045,96,4
JE4US,1914,82,44
MATH,1801,89,42
WCV,1776,74,26
NTPD1,1630,81,16
LGCS,1611,73,7
RISE,1486,63,27
49ERSI,1473,72,21
12312B,1459,70,34
GRIFF,1355,57,10
ZOOM,1309,54,7
404,1255,80,8
DRBZZZ,1088,46,8
TRUST,1083,54,48
ERICK,984,44,27
GOAT,901,52,44
ALSLUG,896,52,38
SAVVEE,887,43,17
KINGS,852,41,49
GHOSTS,849,45,4
DORYA,812,50,43
MATT18,737,35,40
NMCH12,708,41,45
PUPBY,610,37,31
HGWRTS,608,23,16
GOLD55,525,33,33
VZ,483,24,45
HRX,456,25,36
SOCER5,364,21,40
EASTER,358,20,48
LGE,343,12,45
NMV,326,15,7
GOATS,294,17,37
CR7TW,275,15,21
GOLD,272,17,48
ZH,272,32,11
1LWS,257,15,21
ZWINNA,254,12,30
ABAMS,224,12,40
WISD0M,188,7,10
W2V,183,10,41
121,137,7,27
AMATHB,130,11,31
TEDDY,97,5,45
PRVBS,15,1,14
IM4,2,1,2
KOTGP,0,0,6
NMGS,0,0,11
MAHOU,0,0,8
SOW,0,0,4
UBL,0,0,6
A298,0,0,7
81BAG,0,0,1
CCFRI,0,0,8
