Team,TotalPoints,Races,Members
TR1,223873,4748,7
IMT,201181,18831,46
X3,92282,3254,50
NMGDS,60438,2249,12
WL,55172,9628,48
TOSONT,36548,1829,50
SHIP,33623,1423,50
DVM,27970,1150,1
ML,27698,1595,46
FASZ,25542,1143,43
4MATH,24969,1174,45
OT,19761,711,35
SERVNT,18319,977,50
DM8TE,17531,648,19
CC,17297,1051,50
CRAZZZ,15872,673,39
LEGOLF,15621,617,47
DKC,15238,661,50
GO10,14538,919,23
CF02,14338,565,24
PNKYPI,13832,463,49
COBRAS,12183,602,22
PIGGY,11585,441,9
NITR0,11048,1094,45
LORD,10940,532,8
T2WIN,10794,547,45
NFL881,10032,410,34
TMS,9373,2498,29
FUS3,8810,419,36
NFL,8255,358,12
J4UP,8119,447,24
BEAST,7558,346,40
GRIFF,7330,408,19
JDFU,7300,328,37
HGWRTS,6826,247,16
BAG,6611,346,12
ETH,5942,141,1
WINNR,5942,207,10
A3,5785,327,15
JSTW,5732,179,16
WOLVEZ,5547,704,1
ETYPEC,5335,353,11
TCLIP,5262,288,44
NFO,5164,187,6
KINGH,4825,192,21
JLFU,4746,278,28
N8TH,4431,200,6
CONM,4310,204,41
BOB151,4297,211,16
APLU5,3879,142,28
WCV,3850,154,26
R3M1X,3573,326,21
JE4US,3390,154,41
HIM32,3061,142,4
EVSC,2915,135,48
TEDDY,2760,162,47
MATH,2495,120,41
LGCS,2455,104,6
PUPBY,2428,141,34
WMDSM,2204,115,30
DORYA,2020,120,43
AMATHB,1972,125,32
49ERSI,1893,94,21
TRUST,1878,93,48
NTPD1,1797,88,17
12312B,1753,86,34
RISE,1655,72,26
KINGS,1604,83,49
ZOOM,1565,70,5
VZ,1563,74,43
404,1448,92,6
ALSLUG,1270,70,37
WISD0M,1262,53,10
ERICK,1238,54,27
GOAT,1101,65,43
DRBZZZ,1088,46,8
GHOSTS,1064,56,3
W2V,1023,64,40
HRX,1008,48,35
MATT18,1002,46,36
SAVVEE,974,50,10
GOLD55,814,48,33
ZWINNA,798,37,26
NMCH12,772,44,43
GOATS,693,41,36
SOCER5,660,36,40
EASTER,636,36,48
LGE,558,25,45
ABAMS,474,26,40
ZH,469,77,13
NMV,426,19,8
CR7TW,383,21,21
GOLD,305,19,48
121,282,16,26
KOTGP,265,10,6
PRVBS,245,12,13
NMGS,77,3,11
A298,19,1,7
MAHOU,19,1,6
IM4,5,2,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,3
CCFRI,0,0,8
