Team,TotalPoints,Races,Members
TR1,169597,3612,3
IMT,163294,15513,50
X3,53917,1944,50
NMGDS,45228,1703,18
WL,45188,7292,46
TOSONT,25264,1262,50
DVM,24571,1026,3
ML,24340,1360,47
SHIP,23216,1005,47
FASZ,21676,888,37
OT,17103,631,34
4MATH,16827,790,42
CRAZZZ,14490,614,40
CC,14366,836,50
DKC,13114,560,49
DM8TE,13050,495,16
SERVNT,12798,702,49
CF02,12516,497,27
LEGOLF,11336,448,48
GO10,11023,716,19
PIGGY,10936,420,8
COBRAS,10688,506,22
PNKYPI,10004,320,46
LORD,9251,445,16
NITR0,9149,904,50
TMS,8951,2470,30
NFL881,8452,351,35
T2WIN,8362,444,45
NFL,7834,338,17
FUS3,7468,353,34
BEAST,6697,306,40
J4UP,6474,373,19
GRIFF,5783,341,12
WOLVEZ,5547,704,1
BAG,5534,289,13
JSTW,5102,159,17
ETYPEC,4946,335,12
NFO,4516,162,6
TCLIP,4463,247,39
ETH,4417,109,1
JLFU,4342,257,34
KINGH,4047,154,20
JDFU,3902,195,38
APLU5,3879,142,27
WINNR,3638,124,8
HGWRTS,3610,121,16
BOB151,3378,169,16
N8TH,3295,154,6
A3,3239,185,14
R3M1X,3204,310,20
EVSC,2891,134,48
HIM32,2869,134,4
CONM,2804,134,42
WCV,2601,107,26
JE4US,2515,112,44
LGCS,2245,95,7
WMDSM,2204,115,30
MATH,2181,104,42
49ERSI,1820,90,21
TRUST,1786,89,48
NTPD1,1757,86,16
12312B,1527,75,34
RISE,1522,64,27
ZOOM,1504,67,7
DORYA,1432,87,43
PUPBY,1414,82,31
404,1372,88,7
ERICK,1106,49,27
DRBZZZ,1088,46,8
ALSLUG,1072,60,38
GOAT,951,55,44
SAVVEE,909,44,15
VZ,886,43,45
KINGS,868,42,49
TEDDY,859,51,47
GHOSTS,849,45,3
GOLD55,814,48,33
MATT18,775,37,40
NMCH12,733,42,45
GOATS,693,41,37
ZWINNA,644,30,30
LGE,558,25,45
SOCER5,531,30,40
HRX,518,28,36
ZH,469,77,13
EASTER,387,21,48
WISD0M,347,16,10
NMV,326,15,7
AMATHB,321,23,31
CR7TW,275,15,21
GOLD,272,17,48
ABAMS,242,13,40
W2V,189,11,41
PRVBS,183,9,14
121,137,7,27
NMGS,53,2,11
IM4,2,1,2
KOTGP,0,0,6
SOW,0,0,4
MAHOU,0,0,8
A298,0,0,7
UBL,0,0,6
81BAG,0,0,4
CCFRI,0,0,8
