Team,TotalPoints,Races
IM2,150511,10143
TR1,80582,1626
X3,43203,1356
ML,23950,1052
FASZ,19802,734
CRAZZZ,15234,521
TMS,13331,2287
4MATH,12875,515
LEGOLF,9785,333
TOSONT,8904,363
NITR0,8813,664
SERVNT,7916,358
WOLVEZ,7609,703
DM8TE,7579,223
SHIP,7570,290
NFL,7548,261
MATHNL,7426,281
CC,7274,381
ETYPEC,7115,330
OT,6931,267
T2WIN,6501,309
DKC,6482,258
J4UP,6312,281
PNKYPI,6134,193
BEAST,5745,214
COBRAS,5296,191
JLFU,4830,227
ETH,4734,108
APLU5,4151,142
R3M1X,3921,301
NFL881,3896,136
KINGH,3688,105
N8TH,3637,140
TCLIP,3582,199
NFO,3563,110
JDFU,3209,135
FUS3,3101,133
EVSC,3070,123
BOB151,3018,109
WINNR,2864,87
BAG,2800,123
81BAG,2731,121
CONM,2702,102
WMDSM,2499,112
JE4US,2082,78
NTPD1,1905,80
12312B,1754,68
49ERSI,1715,72
GRIFF,1605,55
LGCS,1432,60
ZOOM,1398,48
RISE,1397,51
JSTW,1372,49
KINGS,1370,41
TRUST,1230,36
ALSLUG,1225,52
SAVVEE,1004,43
MATH,902,38
NMCH12,900,37
GOAT,898,45
WCV,897,34
DRBZZZ,877,26
MATT18,871,35
A3,831,46
GHOSTS,694,25
PUPBY,601,30
SOCER5,514,21
GOLD55,492,23
VZ,432,17
HGWRTS,413,14
HRX,409,20
DORYA,404,19
LGE,380,12
CR7TW,356,15
GOATS,341,17
NMV,329,13
ZH,326,31
EASTER,318,16
ABAMS,309,12
ZWINNA,306,12
1LWS,253,13
W2V,213,9
ERICK,174,8
121,159,7
GOLD,151,7
TEDDY,120,5
AMATHB,90,6
HIM32,28,2
WISD0M,25,1
PRVBS,19,1
KOTGP,0,0
NMGS,0,0
SOW,0,0
MAHOU,0,0
A298,0,0
UBL,0,0
RTV,0,0
CCFRI,0,0
